YearsExperience,Degree,FieldOfStudy,Certifications,ProjectsCompleted,PreviousRole,Python,SQL,Machine Learning,Data Analysis,Java,C++,Shortlisted
0,Bachelor's,Information Technology,Yes,7,Intern,0,1,0,1,0,0,0
1,PhD,Electrical Engineering,No,9,Intern,1,0,0,1,0,0,1
7,Bachelor's,Computer Science,No,6,Intern,1,0,1,1,0,1,0
2,Bachelor's,Computer Science,No,9,Intern,1,1,0,1,1,0,0
9,PhD,Business,No,9,Data Analyst,1,0,0,0,0,0,1
3,Master's,Information Technology,No,3,Software Engineer,0,1,0,0,0,1,1
7,Master's,Information Technology,Yes,4,Software Engineer,1,1,1,1,0,0,0
9,Bachelor's,Information Technology,Yes,1,Project Manager,1,1,0,1,0,1,1
5,Bachelor's,Information Technology,No,8,Software Engineer,1,0,1,0,0,0,0
0,Bachelor's,Information Technology,Yes,10,Software Engineer,0,1,1,0,0,0,1
7,PhD,Electrical Engineering,No,3,Project Manager,1,0,1,1,0,0,0
10,PhD,Business,Yes,3,Intern,1,0,0,1,0,1,0
1,Master's,Electrical Engineering,No,1,Data Analyst,0,1,1,0,1,1,1
3,PhD,Business,Yes,9,Intern,1,0,0,1,0,1,0
6,Bachelor's,Computer Science,No,2,Software Engineer,1,1,0,1,0,1,1
5,Master's,Electrical Engineering,No,0,Software Engineer,0,0,0,1,0,0,1
5,Master's,Information Technology,Yes,0,Data Analyst,0,1,1,1,0,0,0
5,Master's,Business,Yes,3,Software Engineer,0,1,1,0,0,0,0
2,Master's,Business,Yes,4,Data Analyst,1,0,0,0,0,1,1
0,PhD,Computer Science,No,1,Project Manager,1,0,1,0,1,0,1
3,Bachelor's,Information Technology,Yes,8,Intern,0,1,0,0,0,0,0
2,Bachelor's,Computer Science,Yes,7,Project Manager,0,1,0,1,0,0,1
9,Bachelor's,Business,Yes,0,Data Analyst,0,0,0,1,0,0,1
3,Master's,Computer Science,No,2,Project Manager,1,0,0,1,1,0,0
